"genero","faixa_idade","raca","dificulta","confianca_falar","o_que_e_politica","vontade_participar","diminui_medo","criado_em"
"homem cis","16–17","branca","acho a linguagem desses espaços difícil","igual a antes","organizar um evento ou coletivo com a galera","muito menos vontade","diminui","2026-06-26T18:58:27.191745+00:00"
"mulher cis","14–15","parda","tenho dificuldade de falar minha opinião nesses espaços","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","sim, fiquei com muito mais vontade","diminui","2026-06-26T18:58:27.887127+00:00"
"homem cis","16–17","preta","me falta tempo pra participar","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família; organizar um evento ou coletivo com a galera","igual a antes","diminui","2026-06-26T18:59:02.012253+00:00"
"mulher cis","16–17","parda","me falta informação de como participar; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; participar de um mutirão ou ação no bairro; discutir os problemas da escola e propor mudanças","um pouco mais de vontade","diminui muito","2026-06-26T19:02:46.256678+00:00"
"homem trans","16–17","parda","me falta informação de como participar; sinto falta de grupo/coletivo que eu me identifique; tenho dificuldade de falar minha opinião nesses espaços; desanimo porque as pessoas não conseguem mais conversar com opinião diferente; me falta grana pra transporte e comida","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","sim, fiquei com muito mais vontade","diminui","2026-06-26T18:59:06.133885+00:00"
"mulher cis","16–17","preta","não acredito na política","igual a antes","votar nas eleições","igual a antes","diminui","2026-06-26T18:59:19.556054+00:00"
"mulher cis","14–15","branca","tenho dificuldade de falar minha opinião nesses espaços; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria","um pouco mais de vontade","diminui um pouco","2026-06-26T18:59:57.611095+00:00"
"homem cis","14–15","preta","me falta tempo pra participar","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; falar dos problemas da cidade com amigos e família","igual a antes","não diminui","2026-06-26T19:00:11.048064+00:00"
"homem cis","14–15","parda","me falta informação de como participar","igual a antes","discutir os problemas da escola e propor mudanças","igual a antes","diminui","2026-06-26T19:00:12.122743+00:00"
"mulher cis","16–17","preta","me falta informação de como participar","igual a antes","discutir os problemas da escola e propor mudanças","igual a antes","diminui","2026-06-26T19:00:23.663199+00:00"
"mulher cis","16–17","branca","me falta tempo pra participar; me falta grana pra transporte e comida; me falta informação de como participar; é difícil chegar nos locais (transporte); sinto falta de grupo/coletivo que eu me identifique; tenho dificuldade de falar minha opinião nesses espaços; desanimo por causa da corrupção; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","um pouco mais de vontade","diminui muito","2026-06-26T19:00:29.971134+00:00"
"homem cis","16–17","parda","não acredito na política; desanimo por causa da corrupção","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação","igual a antes","não diminui","2026-06-26T19:00:39.957746+00:00"
"homem cis","16–17","parda","me falta tempo pra participar","bem mais confiante que antes","votar nas eleições","um pouco mais de vontade","diminui um pouco","2026-06-26T19:01:11.143107+00:00"
"homem cis","16–17","branca","me falta tempo pra participar; desanimo por causa da corrupção","um pouco mais confiante","cobrar o vereador ou a prefeitura por uma melhoria","um pouco mais de vontade","diminui um pouco","2026-06-26T19:01:13.719293+00:00"
"mulher cis","14–15","preta","me falta tempo pra participar; me falta grana pra transporte e comida; me falta informação de como participar; é difícil chegar nos locais (transporte); acho a linguagem desses espaços difícil; tenho dificuldade de falar minha opinião nesses espaços; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","um pouco mais de vontade","diminui","2026-06-26T19:01:24.815726+00:00"
"mulher cis","18+","preta","me falta informação de como participar; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; participar de um mutirão ou ação no bairro","um pouco mais de vontade","diminui","2026-06-26T19:01:25.013298+00:00"
"homem cis","18+","preta","me falta informação de como participar","um pouco mais confiante","falar dos problemas da cidade com amigos e família; discutir os problemas da escola e propor mudanças; votar nas eleições; organizar um evento ou coletivo com a galera; participar de um mutirão ou ação no bairro","um pouco mais de vontade","diminui um pouco","2026-06-26T19:02:40.259138+00:00"
"mulher cis","16–17","branca","tenho dificuldade de falar minha opinião nesses espaços","igual a antes","discutir os problemas da escola e propor mudanças; votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria","um pouco mais de vontade","diminui","2026-06-26T19:02:45.55811+00:00"
"mulher cis","14–15","parda","desanimo porque as pessoas não conseguem mais conversar com opinião diferente","igual a antes","falar dos problemas da cidade com amigos e família","igual a antes","diminui","2026-06-26T19:02:51.473671+00:00"
"homem cis","16–17","parda","desanimo porque as pessoas não conseguem mais conversar com opinião diferente","igual a antes","falar dos problemas da cidade com amigos e família","igual a antes","diminui","2026-06-26T19:03:15.635363+00:00"
"homem cis","14–15","branca","acho a linguagem desses espaços difícil","igual a antes","reclamar de buraco na rua ou falta de iluminação","muito menos vontade","não diminui","2026-06-26T19:03:36.314435+00:00"
